Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
CREATE,,запись клиентов депиляция,EXACT,ACTIVE,$0.18,,
CREATE,,календарь мастера депиляции,EXACT,ACTIVE,$0.18,,
CREATE,,приложение для салона маникюра,EXACT,ACTIVE,$0.18,,
CREATE,,приложение для салона красоты,EXACT,ACTIVE,$0.18,,
CREATE,,календарь салона красоты,EXACT,ACTIVE,$0.18,,
CREATE,,программа для салона красоты,EXACT,ACTIVE,$0.18,,
CREATE,,запись клиентов салон красоты,EXACT,ACTIVE,$0.18,,
CREATE,,timviz,EXACT,ACTIVE,$0.10,,
CREATE,,timviz master,EXACT,ACTIVE,$0.10,,
CREATE,,tim viz,EXACT,ACTIVE,$0.10,,
CREATE,,timvis,EXACT,ACTIVE,$0.10,,
CREATE,,tymviz,EXACT,ACTIVE,$0.10,,
CREATE,,тимвиз,EXACT,ACTIVE,$0.10,,
CREATE,,тімвіз,EXACT,ACTIVE,$0.10,,
CREATE,,тимвіз мастер,EXACT,ACTIVE,$0.10,,
CREATE,,timviz app,EXACT,ACTIVE,$0.10,,
CREATE,,timviz booking,EXACT,ACTIVE,$0.10,,
CREATE,,timviz calendar,EXACT,ACTIVE,$0.10,,
