Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
CREATE,,календар бровіста,EXACT,ACTIVE,$0.20,,
CREATE,,запис клієнтів бровіст,EXACT,ACTIVE,$0.20,,
CREATE,,додаток для лешмейкера,EXACT,ACTIVE,$0.20,,
CREATE,,календар лешмейкера,EXACT,ACTIVE,$0.20,,
CREATE,,запис клієнтів лешмейкер,EXACT,ACTIVE,$0.20,,
CREATE,,додаток для майстра депіляції,EXACT,ACTIVE,$0.20,,
CREATE,,запис клієнтів депіляція,EXACT,ACTIVE,$0.20,,
CREATE,,календар майстра депіляції,EXACT,ACTIVE,$0.20,,
CREATE,,додаток для салону манікюру,EXACT,ACTIVE,$0.20,,
CREATE,,додаток для салону краси,EXACT,ACTIVE,$0.20,,
CREATE,,календар салону краси,EXACT,ACTIVE,$0.20,,
CREATE,,програма для салону краси,EXACT,ACTIVE,$0.20,,
CREATE,,запис клієнтів салон краси,EXACT,ACTIVE,$0.20,,
CREATE,,онлайн запись клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,приложение для записи клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,программа для записи клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,запись клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,календарь записи клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,календарь клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,расписание клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,календарь мастера,EXACT,ACTIVE,$0.25,,
CREATE,,расписание мастера,EXACT,ACTIVE,$0.25,,
CREATE,,запись для мастера,EXACT,ACTIVE,$0.25,,
CREATE,,приложение для мастера,EXACT,ACTIVE,$0.25,,
CREATE,,crm для мастера,EXACT,ACTIVE,$0.25,,
CREATE,,crm салона красоты,EXACT,ACTIVE,$0.25,,
CREATE,,программа для салона красоты,EXACT,ACTIVE,$0.25,,
CREATE,,приложение для салона красоты,EXACT,ACTIVE,$0.25,,
CREATE,,онлайн запись для салона,EXACT,ACTIVE,$0.25,,
CREATE,,онлайн запись для салона красоты,EXACT,ACTIVE,$0.25,,
CREATE,,учет клиентов салон,EXACT,ACTIVE,$0.25,,
CREATE,,учет клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,база клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,база клиентов мастера,EXACT,ACTIVE,$0.25,,
CREATE,,журнал записи клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,электронная запись клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,запись клиентов онлайн,EXACT,ACTIVE,$0.25,,
CREATE,,управление записью клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,клиенты и записи,EXACT,ACTIVE,$0.25,,
CREATE,,услуги и записи,EXACT,ACTIVE,$0.25,,
CREATE,,расписание салона,EXACT,ACTIVE,$0.25,,
CREATE,,календарь салона красоты,EXACT,ACTIVE,$0.25,,
CREATE,,календарь для бизнеса,EXACT,ACTIVE,$0.25,,
CREATE,,приложение для услуг,EXACT,ACTIVE,$0.25,,
CREATE,,программа для услуг,EXACT,ACTIVE,$0.25,,
CREATE,,запись на услуги для бизнеса,EXACT,ACTIVE,$0.25,,
CREATE,,автоматизация салона,EXACT,ACTIVE,$0.25,,
CREATE,,система записи клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,система бронирования клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,бронирование клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,приложение для бронирования клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,программа бронирования клиентов,EXACT,ACTIVE,$0.25,,
CREATE,,приложение для мастера маникюра,EXACT,ACTIVE,$0.20,,
CREATE,,запись клиентов маникюр,EXACT,ACTIVE,$0.20,,
CREATE,,календарь мастера маникюра,EXACT,ACTIVE,$0.20,,
CREATE,,программа для мастера маникюра,EXACT,ACTIVE,$0.20,,
CREATE,,crm для мастера маникюра,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для парикмахера,EXACT,ACTIVE,$0.20,,
CREATE,,календарь парикмахера,EXACT,ACTIVE,$0.20,,
CREATE,,запись клиентов парикмахер,EXACT,ACTIVE,$0.20,,
CREATE,,программа для парикмахера,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для барбера,EXACT,ACTIVE,$0.20,,
CREATE,,календарь барбера,EXACT,ACTIVE,$0.20,,
CREATE,,запись клиентов барбер,EXACT,ACTIVE,$0.20,,
CREATE,,программа для барбера,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для косметолога,EXACT,ACTIVE,$0.20,,
CREATE,,календарь косметолога,EXACT,ACTIVE,$0.20,,
CREATE,,запись клиентов косметолог,EXACT,ACTIVE,$0.20,,
CREATE,,программа для косметолога,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для массажиста,EXACT,ACTIVE,$0.20,,
CREATE,,календарь массажиста,EXACT,ACTIVE,$0.20,,
CREATE,,запись клиентов массажист,EXACT,ACTIVE,$0.20,,
CREATE,,программа для массажиста,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для бровиста,EXACT,ACTIVE,$0.20,,
CREATE,,календарь бровиста,EXACT,ACTIVE,$0.20,,
CREATE,,запись клиентов бровист,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для лешмейкера,EXACT,ACTIVE,$0.20,,
CREATE,,календарь лешмейкера,EXACT,ACTIVE,$0.20,,
CREATE,,запись клиентов лешмейкер,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для мастера депиляции,EXACT,ACTIVE,$0.20,,
CREATE,,запись клиентов депиляция,EXACT,ACTIVE,$0.20,,
CREATE,,календарь мастера депиляции,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для салона маникюра,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для салона красоты,EXACT,ACTIVE,$0.20,,
CREATE,,календарь салона красоты,EXACT,ACTIVE,$0.20,,
CREATE,,программа для салона красоты,EXACT,ACTIVE,$0.20,,
CREATE,,запись клиентов салон красоты,EXACT,ACTIVE,$0.20,,
CREATE,,timviz,EXACT,ACTIVE,$0.12,,
CREATE,,timviz master,EXACT,ACTIVE,$0.12,,
CREATE,,tim viz,EXACT,ACTIVE,$0.12,,
CREATE,,timvis,EXACT,ACTIVE,$0.12,,
CREATE,,tymviz,EXACT,ACTIVE,$0.12,,
CREATE,,тимвиз,EXACT,ACTIVE,$0.12,,
CREATE,,тімвіз,EXACT,ACTIVE,$0.12,,
CREATE,,тимвіз мастер,EXACT,ACTIVE,$0.12,,
CREATE,,timviz app,EXACT,ACTIVE,$0.12,,
CREATE,,timviz booking,EXACT,ACTIVE,$0.12,,
CREATE,,timviz calendar,EXACT,ACTIVE,$0.12,,
