Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
CREATE,,program dla kosmetyczki,EXACT,ACTIVE,$0.25,,
CREATE,,aplikacja dla fryzjera,EXACT,ACTIVE,$0.25,,
CREATE,,kalendarz fryzjera,EXACT,ACTIVE,$0.25,,
CREATE,,zapisy klientów fryzjer,EXACT,ACTIVE,$0.25,,
CREATE,,program dla fryzjera,EXACT,ACTIVE,$0.25,,
CREATE,,aplikacja dla barbera,EXACT,ACTIVE,$0.25,,
CREATE,,kalendarz barbera,EXACT,ACTIVE,$0.25,,
CREATE,,zapisy klientów barber,EXACT,ACTIVE,$0.25,,
CREATE,,program dla barbera,EXACT,ACTIVE,$0.25,,
CREATE,,aplikacja dla masażysty,EXACT,ACTIVE,$0.25,,
CREATE,,kalendarz masażysty,EXACT,ACTIVE,$0.25,,
CREATE,,zapisy klientów masażysta,EXACT,ACTIVE,$0.25,,
CREATE,,program dla masażysty,EXACT,ACTIVE,$0.25,,
CREATE,,aplikacja dla salonu fryzjerskiego,EXACT,ACTIVE,$0.25,,
CREATE,,aplikacja dla salonu urody,EXACT,ACTIVE,$0.25,,
CREATE,,program dla salonu urody,EXACT,ACTIVE,$0.25,,
CREATE,,aplikacja dla salonu piękności,EXACT,ACTIVE,$0.25,,
CREATE,,program dla salonu piękności,EXACT,ACTIVE,$0.25,,
CREATE,,aplikacja dla stylistki rzęs,EXACT,ACTIVE,$0.25,,
CREATE,,kalendarz stylistki rzęs,EXACT,ACTIVE,$0.25,,
CREATE,,zapisy klientek rzęsy,EXACT,ACTIVE,$0.25,,
CREATE,,aplikacja dla makijażystki,EXACT,ACTIVE,$0.25,,
CREATE,,kalendarz makijażystki,EXACT,ACTIVE,$0.25,,
CREATE,,aplikacja dla depilacji,EXACT,ACTIVE,$0.25,,
CREATE,,kalendarz depilacja,EXACT,ACTIVE,$0.25,,
CREATE,,zapisy klientów depilacja,EXACT,ACTIVE,$0.25,,
CREATE,,timviz,EXACT,ACTIVE,$0.12,,
CREATE,,timviz master,EXACT,ACTIVE,$0.12,,
CREATE,,tim viz,EXACT,ACTIVE,$0.12,,
CREATE,,timvis,EXACT,ACTIVE,$0.12,,
CREATE,,tymviz,EXACT,ACTIVE,$0.12,,
CREATE,,тимвиз,EXACT,ACTIVE,$0.12,,
CREATE,,тімвіз,EXACT,ACTIVE,$0.12,,
CREATE,,тимвіз мастер,EXACT,ACTIVE,$0.12,,
CREATE,,timviz app,EXACT,ACTIVE,$0.12,,
CREATE,,timviz booking,EXACT,ACTIVE,$0.12,,
CREATE,,timviz calendar,EXACT,ACTIVE,$0.12,,
